,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,41.08391
43,3.5562449
44,0.0
45,0.0
46,0.0
47,0.12812042
48,0.349226
49,0.0
50,0.0
51,0.0
52,0.0
53,0.8779812
54,0.0
55,0.0026435852
56,0.0
57,0.0
58,0.0
59,2.4061947
60,0.39726853
61,0.0
62,0.395792
63,0.0
64,0.0
65,0.0
66,0.23828888
67,0.0
68,0.0
69,0.02146244
70,0.29582977
71,0.40235615
72,0.4850979
73,0.0
74,0.81907463
75,0.6022434
76,0.00314188
77,0.0
78,1.223032
79,0.0
80,0.0
81,0.0
82,0.67661667
83,0.0
84,0.0
85,0.0
86,0.0
87,0.6499634
88,0.99518967
89,0.20446014
90,0.6540985
91,0.15450954
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.4474792
99,0.0
100,0.0
101,0.3435173
102,0.21530342
103,0.0
104,0.61878777
105,0.0
106,0.0
107,0.39326
108,0.0
109,0.0
110,0.0
111,1.0262327
112,0.0
113,0.0
114,1.3085537
115,0.2892995
116,0.57264423
117,1.2689323
118,0.27671957
119,0.9942626
120,0.082651615
121,0.0754509
122,0.0
123,0.0
124,0.0
125,0.32293415
126,0.3815117
127,0.0
128,0.0
129,0.053609848
130,0.030445576
131,0.16033363
132,0.03986454
133,0.0
134,0.78594136
135,0.0
136,0.0
137,0.0
138,0.68650055
139,0.032139778
140,0.0
141,1.1168189
142,0.0
143,0.17834139
144,0.0
145,0.52943707
146,0.0
147,0.0
148,0.0033025742
149,0.0
150,0.0
151,0.4631238
152,0.75843006
153,0.0
154,0.0
155,0.0
156,0.98010206
157,0.5850067
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.4368868
165,0.0
166,0.057661057
167,0.0
168,0.0
169,0.0962944
170,0.1740036
171,0.0
172,0.08038139
173,0.4812429
174,0.34120178
175,0.0
176,0.3754139
