,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,43.69436
42,0.49302673
43,0.0
44,0.0
45,0.004125595
46,0.0
47,0.0
48,0.010978699
49,0.0
50,1.1787701
51,0.0
52,0.0
53,0.0
54,0.4724617
55,0.08811951
56,0.18646812
57,0.0
58,0.0
59,0.22940946
60,0.0
61,0.6529894
62,0.0
63,0.9748268
64,0.0
65,2.690341
66,0.0
67,0.0
68,0.41410494
69,0.27375412
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.38754845
77,0.8019409
78,0.18565464
79,0.4266262
80,0.0
81,0.8045378
82,0.0
83,0.0
84,0.60092807
85,0.0
86,5.0383425
87,0.0
88,0.0
89,0.0
90,0.21040916
91,0.0
92,0.0
93,0.0
94,0.5599899
95,0.0
96,0.0
97,0.0
98,0.6795006
99,1.9284039
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.14379883
107,0.0
108,0.0
109,0.0
110,0.35469437
111,0.0
112,0.21352959
113,0.0
114,0.01313591
115,0.0
116,5.1474724
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.18338203
124,0.0
125,0.0
126,0.5691886
127,0.0
128,0.0
129,1.1252193
130,0.7368603
131,0.0
132,0.0129413605
133,0.0
134,0.0
135,0.052155733
136,0.748029
137,0.33117485
138,0.85384655
139,0.0
140,0.2775364
141,2.1770592
142,1.5035648
143,0.0
144,0.0
145,0.0
146,1.7078266
147,1.4204865
148,0.0
149,0.1763835
150,0.53489876
151,0.8889599
152,0.61656046
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.071121216
159,0.0
160,3.0738869
161,0.0
162,0.0
163,0.0
164,0.540956
165,0.0
166,0.0
167,0.0
168,0.49150658
169,0.0
170,0.0
171,0.0
172,2.5944118
173,0.0
174,0.55502415
175,0.0
176,0.57800674
177,0.0
178,2.524498
179,0.0
180,0.11410141
181,0.0
182,0.0
183,0.0
