,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,34.245506
41,1.787612
42,0.14947605
43,0.0
44,0.0
45,0.5169487
46,0.0
47,0.0
48,0.60485554
49,0.0
50,0.0
51,0.08531308
52,0.0
53,0.18110657
54,0.30386782
55,0.0
56,0.0
57,0.0
58,0.0
59,0.59159636
60,0.0
61,0.0
62,0.099527836
63,0.0
64,0.43871307
65,0.0
66,0.0
67,0.10343647
68,0.2351036
69,0.0
70,0.028423548
71,0.0
72,0.0
73,0.0
74,0.002981186
75,0.0
76,0.5315051
77,0.0
78,0.40480042
79,0.0
80,0.47215223
81,0.0073986053
82,1.4547114
83,0.0
84,0.0
85,0.0
86,0.0
87,0.26269197
88,0.0
89,0.0
90,0.4309516
91,0.0
92,0.0
93,0.49965096
94,0.0
95,0.4062419
96,0.24819756
97,0.0
98,0.6266465
99,0.0
100,0.0
101,0.0
102,0.28040123
103,0.0
104,0.20765305
105,2.3828783
106,0.0
107,0.0
108,0.33398056
109,0.0
110,0.75566864
111,0.0
112,0.0
113,0.0
114,0.0
115,0.84907424
116,0.39026642
117,0.3049326
118,0.0
119,0.0
120,0.0
121,0.0
122,0.49278355
123,0.2940824
124,0.0
125,0.16329956
126,0.0
127,0.4470024
128,0.0
129,0.25279617
130,0.27864838
131,0.53183997
132,0.0
133,0.3445053
134,0.9693594
135,0.0
136,0.6067457
137,0.0
138,1.1658058
139,0.0
140,0.0
141,0.0
142,0.41973495
143,0.0
144,2.2257605
145,0.018875837
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.9299133
154,0.0
155,0.0
156,0.17162609
157,0.4704342
158,0.0
159,0.34356356
160,0.06535435
161,1.3215227
162,0.0
163,0.43953514
164,1.4363589
165,0.0
166,0.0
167,0.0
168,0.4446602
169,0.36337042
170,0.0
171,0.0
172,0.03473282
173,0.0
174,0.3039155
175,0.0
176,0.18161726
177,0.0
178,0.10866356
179,0.0
180,0.38229752
181,0.22280884
182,0.6404835
183,0.0
184,0.0
185,0.20326328
186,0.14771366
187,0.0
188,0.58683586
189,0.0
190,0.94554085
191,0.35483527
192,0.0
193,0.8117161
194,0.009972572
195,0.0
196,0.0
197,0.0
198,0.11754894
199,0.5317669
200,0.08823395
201,0.16496944
202,0.0
203,0.66902256
204,0.0
205,0.0
206,0.32211447
207,0.0
208,0.41760445
209,0.0
210,0.07258567
211,0.22144127
212,0.0
213,0.0
214,0.3450451
215,0.2179842
216,0.15628862
217,0.0
218,0.047792435
219,0.0
220,0.0
221,0.3616047
222,0.11899769
223,0.7268667
224,0.12901974
225,0.08662796
226,0.18993807
227,0.82472134
228,0.0
229,0.0
230,0.0
231,0.2296691
232,0.45292282
233,1.5075064
234,0.0
235,0.0
236,0.0
237,0.0
238,0.6542591
239,0.0
240,1.0810966
241,1.2848561
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.04506302
248,0.0
249,0.0
250,0.0
251,0.0765686
252,0.0
253,0.29871655
254,0.0
255,0.37636042
256,0.0
257,0.0
258,0.1042099
259,0.051208496
260,0.0
261,0.0
262,0.33010864
263,0.0
264,0.0
265,0.21276855
266,0.618412
267,0.0
268,0.05604744
269,0.0
270,0.3498726
271,1.0729065
272,0.013151169
273,0.3515072
274,0.36001873
275,0.0
276,2.0982723
277,0.7175765
278,1.8298006
279,0.0
280,0.34951115
281,0.13250208
282,0.5003586
283,0.0
284,1.1268024
285,1.0344191
286,0.0
287,0.7470033
288,0.0
289,0.0
290,0.318038
291,0.014050484
292,0.0
293,1.2315354
294,0.0
295,0.25980377
296,0.75726986
297,0.0
298,0.0
299,0.0
300,0.0
301,1.6127987
302,0.0
303,1.8776098
304,0.0
305,0.0
306,0.0
307,0.4426918
308,0.0
309,0.0
310,3.5105925
