,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,34.291298
45,0.067414284
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.57479095
52,1.4167023
53,1.2474995
54,0.0
55,0.0
56,0.0
57,1.2143822
58,0.8228102
59,0.10880232
60,0.0
61,0.39400387
62,5.385371
63,0.0
64,0.0
65,3.4782667
66,0.0
67,0.0
68,0.0
69,0.0
70,1.1696377
71,0.0
72,0.0
73,0.0
74,1.3131981
75,0.9881983
76,0.0
77,0.20210648
78,0.0
79,0.0
80,2.5675764
81,0.0
82,0.0
83,0.0
84,1.323453
85,0.0
86,1.830226
87,1.3649349
88,0.0
89,0.0
90,0.0
91,2.2958946
92,0.0
93,1.7393284
94,5.307143
95,0.0
96,0.0
97,0.56788254
98,0.0
99,1.5861244
100,0.0
101,0.45167255
102,0.0
103,0.5814781
104,0.0
105,4.483017
106,0.0
107,0.0
108,0.0
109,0.5934105
110,0.030903816
111,0.0
112,0.7381635
113,3.4811134
114,0.0
115,0.0
116,0.0
117,4.0660295
118,0.0
119,0.0161767
120,4.116976
121,0.0
122,1.9844913
123,0.0
124,0.14971924
125,0.0
126,1.8060322
127,0.0
128,0.3888147
129,0.52678394
130,1.1188154
131,0.0
132,0.36906052
133,0.0
134,0.0
135,1.5617399
136,0.0
137,0.0
138,0.0
139,0.70402384
140,0.0
141,0.52929974
142,4.139444
143,0.0
144,0.0
145,0.0
146,0.8254738
147,0.0
148,0.22054386
149,2.6293907
150,0.0
151,6.477401
152,0.0
153,0.0
154,0.0
155,0.0
156,0.14355946
157,0.0
158,0.9914484
159,0.0
160,0.48180008
161,0.0
162,9.669832
163,0.0
164,0.0
165,2.4925985
166,0.0
167,0.0
168,0.0
169,0.7205095
170,0.0
171,0.8736019
172,4.0083723
173,0.0
174,0.0
175,0.0
176,2.053565
177,0.0
178,0.0
179,5.258684
180,0.0
