,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,34.141968
43,4.256563
44,0.09635925
45,0.6932411
46,0.15533447
47,0.0
48,3.0744042
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.17125416
56,0.0
57,0.85424066
58,0.9018593
59,0.0
60,0.0
61,1.5655594
62,1.9224567
63,0.0
64,0.0
65,0.2053585
66,0.0
67,0.0
68,0.0
69,1.2113018
70,0.8495398
71,0.0
72,0.0
73,0.0
74,0.35135078
75,0.0
76,0.0
77,2.7170148
78,0.0
79,0.37910366
80,0.0
81,0.0
82,0.1599884
83,0.0
84,0.0
85,2.2266731
86,0.0
87,0.0
88,0.0
89,0.0
90,0.034271717
91,1.0078273
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.22281265
100,0.0
101,0.18288183
102,0.0
103,0.0
104,0.5034838
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.56157064
111,1.0911994
112,0.0
113,0.5486717
114,0.0
115,0.43141937
116,0.0
117,1.3339729
118,1.536521
119,0.0
120,0.0
121,0.0
122,0.93218184
123,0.0
124,0.42970848
125,0.0
126,0.5980053
127,2.2361841
128,1.0429173
129,0.0
130,0.0
131,0.50738525
132,0.0
133,0.0
134,0.0
135,0.14810562
136,1.9257412
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.9981923
143,0.0
144,1.3412266
145,0.0
146,0.0
147,0.0
148,0.0
149,0.09519005
150,0.795074
151,0.37199306
152,0.0
153,0.31480813
154,0.0
155,3.7521992
156,0.0
157,0.0
158,0.20797539
159,1.2746887
160,0.24729729
161,0.0
162,0.0
163,0.37807512
164,0.6427307
165,3.2811131
166,0.0
167,0.37262726
168,0.7446357
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.23677635
181,0.10036659
182,5.9271564
183,0.0
184,0.0
185,0.9740925
186,4.4165554
187,0.11708379
188,0.0
189,0.0
190,3.7586236
191,0.0
