,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,48.04573
44,0.0
45,0.37592888
46,0.069805145
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.3218465
53,0.0
54,3.222002
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.22122622
61,0.0
62,0.0
63,0.47101784
64,1.7211227
65,0.5551007
66,0.0
67,0.0
68,0.0
69,0.044711113
70,5.1637945
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.6067133
77,0.10928488
78,1.4874039
79,0.0
80,0.0
81,0.0
82,1.2768531
83,0.0
84,6.194929
85,0.0
86,0.0
87,0.0
88,0.0
89,1.2400818
90,0.0
91,0.0
92,0.0
93,0.61832905
94,0.99769306
95,0.0
96,0.17088485
97,0.037160873
98,0.82080936
99,0.0
100,0.0
101,0.4711609
102,0.0
103,0.6579418
104,0.0
105,0.0
106,0.0
107,0.0072898865
108,0.030000687
109,0.5880003
110,0.7985821
111,0.0
112,0.0
113,0.0
114,2.227244
115,0.0
116,0.0
117,1.8214321
118,4.4678493
119,0.6623144
120,0.0
121,0.0
122,1.0381904
123,0.0
124,0.0
125,0.0
126,0.0
127,0.7704611
128,0.0
129,0.0
130,0.17822838
131,1.9562578
132,0.0
133,0.0
134,0.0
135,0.0
136,1.018734
137,0.0
138,0.0
139,4.8953333
140,0.0
141,0.0
142,0.0
143,0.055996418
144,0.0
145,0.4253993
146,0.0
147,0.22154427
148,0.60985184
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.46025085
155,0.0
156,0.5462494
157,1.385746
158,1.7190104
159,0.0
160,0.0
161,0.0
162,0.9670677
163,0.0
164,1.9374466
165,2.5900059
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.8055706
175,0.5390382
176,0.0
177,0.0
178,2.9067192
179,0.6320791
180,0.5501833
181,0.0
182,0.6158991
183,0.0
184,0.18894005
185,0.22898626
186,0.63487434
187,0.0
188,0.0
189,0.0
190,0.0
191,0.01543045
192,0.0
193,0.0
194,0.0
195,0.0
196,0.4265442
197,0.18462563
198,2.2448192
199,1.2004013
200,0.0
201,0.0
202,0.0
203,0.8226328
204,6.1202364
205,0.0
