,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,35.03003
42,2.4015446
43,0.0
44,0.7793083
45,0.33298492
46,0.0
47,4.3822274
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,1.0747185
54,3.3525352
55,0.0
56,0.0
57,0.0
58,0.7835655
59,0.31903887
60,4.1920404
61,0.20059845
62,0.0
63,0.0
64,0.0
65,0.29567432
66,0.0
67,0.0
68,0.0
69,0.07191467
70,0.0
71,0.020393372
72,0.0
73,0.0
74,0.33671296
75,0.0
76,0.0
77,3.0265074
78,0.64592934
79,0.58034897
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.7195778
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.4316578
92,2.1525164
93,0.0
94,3.4887905
95,3.4052372
96,1.5045757
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.06657791
105,0.277287
106,0.0
107,0.0
108,0.0800457
109,0.58669376
110,9.692188
111,0.37125254
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,1.8793468
119,0.0
120,0.0
121,0.0
122,5.034953
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.73192596
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,4.4213314
138,0.0
139,0.11941719
140,3.3327637
141,0.0
142,0.0
143,0.09161663
144,0.0
145,0.0
146,0.0
147,1.782795
148,0.4296546
149,0.0
150,0.0
151,2.1587434
152,1.2149687
153,0.0
154,0.0
155,0.0
156,2.4062948
157,0.7455387
158,0.0
159,0.0
160,0.11693764
161,0.5456505
162,0.0
163,0.5850439
164,0.85912323
165,0.24439645
166,0.091989994
167,1.4977236
168,0.9513631
169,0.0
170,1.5320501
171,0.67250466
172,0.0
173,0.0
174,0.050773144
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,2.5172882
