,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,16.626587
41,24.054764
42,0.0
43,0.6506624
44,0.42373466
45,0.0
46,2.835991
47,0.0
48,0.7043247
49,0.0
50,0.0
51,0.03737831
52,0.0
53,0.0
54,0.25064802
55,0.0
56,0.0
57,0.0
58,0.0
59,0.59978247
60,0.0
61,0.56056356
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,1.29638
68,0.0
69,0.0
70,0.24523163
71,0.0
72,0.0
73,0.14133668
74,0.0
75,0.0
76,0.5564995
77,0.0
78,0.38282013
79,0.0
80,0.0
81,0.0
82,0.0
83,0.45362282
84,0.0
85,0.2734127
86,0.1907444
87,0.6832466
88,0.0
89,0.99720955
90,0.0
91,0.033481598
92,0.0
93,0.03234291
94,0.0
95,0.20567894
96,0.28554153
97,1.3077698
98,0.0
99,0.0
100,0.6176748
101,0.0
102,0.0
103,4.257083
104,3.9134932
105,0.7133074
106,0.95385647
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.014801025
113,0.0
114,0.0
115,0.0
116,0.18811226
117,0.0
118,0.0
119,0.11999321
120,0.027597427
121,0.21675682
122,0.0009441376
123,0.21624756
124,0.0
125,0.0
126,0.0
127,0.0
128,0.048768044
129,0.0
130,0.0
131,0.0
132,0.0
133,0.547554
134,0.0
135,0.41719627
136,0.109176636
137,0.0
138,0.29360008
139,0.0
140,0.5067606
141,0.18138313
142,0.0
143,0.0
144,0.40519714
145,0.0
146,0.0
147,0.00037574768
148,0.3807583
149,0.0
150,0.0
151,0.35296154
152,0.0
153,0.0
154,0.009105682
155,0.0
156,0.4990902
157,0.0
158,0.0
159,0.0
160,0.0
161,0.22007942
162,0.0
163,0.629755
164,0.0
165,0.044087887
166,0.5218344
167,0.016710281
168,0.0
169,0.16460991
170,0.0
171,0.29479885
172,0.04482174
173,0.0
174,0.39056396
175,0.32361984
176,0.040908813
177,0.053892136
178,0.0
179,0.0
180,0.17311859
181,0.0
182,0.0
183,0.6014042
184,0.0
185,0.24634266
186,0.0
187,0.3861847
188,0.31575203
189,0.0
190,0.42740035
191,0.0
192,0.35818672
193,0.755146
194,0.0
195,0.4518757
196,0.08633804
197,0.0
198,0.0
199,0.0
200,0.94929695
