,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,33.409615
41,3.8621063
42,0.0
43,0.0
44,0.28133965
45,0.3009262
46,1.470684
47,1.0198689
48,0.0
49,0.26034927
50,0.14330387
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.64480305
62,0.0
63,0.0
64,0.47967792
65,0.0
66,0.8493748
67,0.42390633
68,0.0
69,0.10544777
70,0.0
71,0.0
72,0.0
73,0.26021194
74,0.0
75,0.0019521713
76,0.0
77,0.0
78,0.034025192
79,0.144804
80,0.20537376
81,0.16115999
82,0.4284773
83,0.0
84,0.1734314
85,0.15774155
86,0.09332657
87,0.0
88,0.0
89,0.65574646
90,0.14007568
91,0.0
92,0.4873886
93,0.40265465
94,0.32976627
95,0.0
96,0.8688607
97,0.0
98,0.0
99,0.22349739
100,0.24290848
101,0.0
102,0.0
103,0.8649392
104,2.5931015
105,7.338875
106,1.270155
107,0.8254576
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.047756195
116,0.09349918
117,0.0
118,0.0
119,0.0
120,0.060163498
121,0.583127
122,0.0
123,0.0
124,0.0
125,0.0
126,0.41847992
127,0.0
128,0.20306683
129,0.0
130,0.0
131,0.6485634
132,0.0
133,0.0
134,0.61293507
135,0.0
136,0.631937
137,0.42586136
138,0.018772125
139,0.0
140,0.027103424
141,0.0
142,0.0
143,0.39349937
144,0.0
145,2.149866
146,0.0
147,0.0
148,1.1161098
149,0.0
150,0.0
151,0.0
152,0.0
153,0.21154213
154,0.7990589
155,0.0
156,0.0
157,0.19717407
158,1.2071285
159,0.22536993
160,0.0
161,0.0
162,0.0
163,0.0
164,0.07038689
165,0.019693375
166,0.1251359
167,0.6589589
168,0.0
169,0.0
170,0.8909073
171,0.0
172,0.0
173,0.0
174,0.99749184
175,0.0
176,0.61779404
177,0.0
178,0.0
179,0.0
180,0.7454853
181,1.1802082
182,0.0
183,0.14509201
184,0.0
185,1.8686218
186,0.04956436
187,0.0
188,0.0
189,3.2763796
190,0.0
191,0.0
192,0.0
193,0.0
194,0.014432907
195,0.2988205
196,1.3138571
197,0.6181965
198,0.0
199,0.0
200,0.06794739
201,0.0
202,2.1906948
