,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,35.40027
40,0.0
41,1.100954
42,0.0
43,0.0
44,0.0
45,0.0
46,0.091498375
47,0.69156265
48,0.5933609
49,0.17181015
50,0.0
51,0.0
52,0.0
53,0.12516022
54,0.0
55,0.23105621
56,0.0
57,0.0
58,0.5485382
59,0.0
60,0.22678947
61,0.0
62,0.0
63,0.23828125
64,0.0
65,0.033748627
66,0.08666897
67,0.0
68,0.52043533
69,0.826622
70,0.0
71,0.008749008
72,0.06816864
73,0.46758986
74,0.0
75,0.0
76,0.034238815
77,0.0
78,0.0
79,0.113155365
80,0.0
81,0.43390274
82,0.14114094
83,0.0
84,0.95366096
85,0.0
86,0.0
87,0.0
88,0.25842476
89,0.0
90,0.0
91,0.31291866
92,0.0
93,0.9574251
94,0.0017910004
95,1.3440981
96,0.89206505
97,0.21185112
98,0.0
99,0.37118804
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.13750839
107,0.5176964
108,0.0
109,0.0
110,0.24935722
111,0.0
112,0.74254227
113,4.4319324
114,1.5257688
115,0.0
116,10.272872
117,0.0
118,0.0
119,6.2728586
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.18364382
132,0.3748207
133,0.0
134,0.0
135,0.013005257
136,0.0
137,0.012802124
138,0.61801887
139,0.0
140,0.0
141,0.18566895
142,0.19250488
143,0.076358795
144,0.0
145,0.6668434
146,0.0
147,0.25493813
148,0.006538391
149,0.07055187
150,0.0
151,0.0
152,0.84438896
153,0.0
154,0.0
155,0.14640999
156,0.0
157,0.035820007
158,0.38373947
159,0.0
160,0.0
161,0.035557747
162,0.0
163,0.3104229
164,0.49507236
165,0.0
166,0.0
167,0.7411175
168,0.0
169,0.24162674
170,0.0
171,0.13910007
172,0.7126484
173,0.0
174,0.0
175,0.18999863
176,0.019159794
177,0.0
178,0.11983013
179,0.88334465
180,0.35186195
181,0.0
182,0.0241642
183,0.0
184,1.0427227
185,0.0
186,0.14614582
187,0.0
188,0.07392883
189,0.0
190,0.47927856
191,0.29707813
192,0.0
193,0.0
194,0.032110214
195,0.0
196,0.3507023
197,0.46243668
198,1.368156
